SITE,TRANSECT,YEAR,AGCL_wet_weight,ALES_wet_weight,LADI_wet_weight,SL_wet_weight,SLJ_wet_weight
NW Appledore,Sandpiper Beach,2017,2.9894334178450417,NA,NA,215.43355826491756,NA
Pemaquid,1,2016,NA,NA,154.1489837099171,95.25101967502545,NA
Pemaquid,2,2016,NA,NA,40.92066548527295,262.25734539562274,NA
Schoodic,1,2017,36.98613962704081,NA,NA,219.02107908968435,NA
Schoodic,2,2017,23.256349071591046,NA,137.19671264683703,54.22691889080232,NA
Schoodic,3,2017,25.925118064071324,NA,NA,2.9981228989878317,NA
Schoodic,4,2017,34.24843355035067,NA,12.382326550714106,7.25969793389624,NA
SW Appledore,North Pepperrell,2014,NA,NA,NA,51.14398627549287,NA
SW Appledore,North Pepperrell,2015,10.048555728121304,NA,NA,72.39370942487136,NA
SW Appledore,North Pepperrell,2016,2.811441737742355,NA,NA,46.80983962683811,NA
SW Appledore,North Pepperrell,2017,NA,NA,NA,11.779031379694331,NA
SW Appledore,North Smith's Cove,2014,19.069518536598,NA,NA,251.5923768427687,NA
SW Appledore,North Smith's Cove,2015,NA,NA,NA,NA,NA
SW Appledore,North Smith's Cove,2016,NA,NA,NA,16.501437800116154,NA
SW Appledore,North Smith's Cove,2017,NA,NA,NA,48.44762096329174,NA
SW Appledore,South Pepperrell,2014,NA,NA,NA,2.2296183390136823,NA
SW Appledore,South Pepperrell,2016,10.251420914161299,NA,NA,NA,NA
SW Appledore,South Pepperrell,2017,NA,NA,NA,45.2639680631851,NA
SW Appledore,South Smith's Cove,2014,NA,NA,NA,3.431271502600033,NA
SW Appledore,South Smith's Cove,2015,2.134081804915992,NA,NA,29.32634685019135,NA
SW Appledore,South Smith's Cove,2016,NA,NA,NA,NA,NA
SW Appledore,South Smith's Cove,2017,NA,NA,NA,79.99698121399561,NA
